first_active_month,card_id,feature_1,feature_2,feature_3,target,source,first_active_year_unit,first_active_month_unit,first_active_month_label_code,first_active_year_unit_label_code,first_active_month_unit_label_code
2016-11,C_ID_d1d859645f,2,3,1,-1.32333835,train,2016,11,60,5,10
2014-02,C_ID_954f09c674,2,3,1,-0.18383423,train,2014,02,27,3,1
2017-05,C_ID_3dc690b811,3,1,0,-0.04020948,train,2017,05,66,6,4
2016-10,C_ID_b1a43b9458,1,2,0,-0.31933607,train,2016,10,59,5,9
2016-11,C_ID_a46cd7043f,4,2,1,-0.40938117,train,2016,11,60,5,10
2016-12,C_ID_e58112a217,2,1,1,-1.72454655,train,2016,12,61,5,11
2017-02,C_ID_642f591402,3,2,0,0.0,train,2017,02,63,6,1
2017-05,C_ID_55c8d478eb,1,2,0,0.77959856,train,2017,05,66,6,4
2017-09,C_ID_21c68ed023,1,3,0,-4.30214434,train,2017,09,70,6,8
2017-09,C_ID_8fdb8d95cd,1,1,0,0.15145003,train,2017,09,70,6,8
2017-06,C_ID_991e1dbbd1,1,1,0,1.18426942,train,2017,06,67,6,5
2017-05,C_ID_6dd4663764,2,1,1,0.30706275,train,2017,05,66,6,4
2017-12,C_ID_09da8a2858,4,1,1,-0.83350561,train,2017,12,73,6,11
2017-10,C_ID_4aa921d7ab,4,1,1,0.42451808,train,2017,10,71,6,9
2017-11,C_ID_4761b1fe4b,1,3,0,0.169277,train,2017,11,72,6,10
2017-03,C_ID_3dc6288d77,2,1,1,-1.39160238,train,2017,03,64,6,2
2017-05,C_ID_a5a8717598,2,2,1,-0.11952546,train,2017,05,66,6,4
2017-07,C_ID_6f9037a176,1,1,0,0.0083603,train,2017,07,68,6,6
2017-09,C_ID_db2bc1cc20,4,1,1,1.25990325,train,2017,09,70,6,8
2015-08,C_ID_04dd9152c7,3,2,0,0.0,train,2015,08,45,4,7
2017-01,C_ID_ac0d392217,4,1,1,1.03809801,train,2017,01,62,6,0
2017-11,C_ID_923262df45,1,1,0,-0.49501336,train,2017,11,72,6,10
2017-01,C_ID_643ddaea8c,2,2,1,3.45930666,train,2017,01,62,6,0
2016-10,C_ID_d37ca48da9,4,2,1,0.10868028,train,2016,10,59,5,9
2015-05,C_ID_b9379a30ea,2,3,1,-33.21928095,train,2015,05,42,4,4
2015-01,C_ID_281e89ae65,4,1,1,0.10357389,train,2015,01,38,4,0
2017-06,C_ID_c77514f6b2,1,2,0,-1.25050503,train,2017,06,67,6,5
2016-08,C_ID_d9388844f8,3,2,0,-0.69392823,train,2016,08,57,5,7
2017-01,C_ID_24b7e16c4f,2,3,1,-2.78837913,train,2017,01,62,6,0
2017-03,C_ID_a8ad576b32,1,2,0,-2.93994296,train,2017,03,64,6,2
2014-08,C_ID_26364d47bb,2,3,1,-5.28842568,train,2014,08,33,3,7
2016-09,C_ID_26655f11a1,2,2,1,-0.01838317,train,2016,09,58,5,8
2017-06,C_ID_88b24ae44b,1,2,0,0.21173321,train,2017,06,67,6,5
2017-01,C_ID_95c97b86ff,1,1,0,-0.89837004,train,2017,01,62,6,0
2017-07,C_ID_2b8df5e6d7,4,1,1,0.05650766,train,2017,07,68,6,6
2017-01,C_ID_f2ff275b30,2,1,1,0.34279239,train,2017,01,62,6,0
2016-11,C_ID_7df488e4f0,1,2,0,-0.38534428,train,2016,11,60,5,10
2017-11,C_ID_30bcfdd9ed,1,3,0,-1.11579961,train,2017,11,72,6,10
2017-11,C_ID_a2a84f3720,3,2,0,0.23855581,train,2017,11,72,6,10
2017-01,C_ID_03ef764f46,4,1,1,1.857981,train,2017,01,62,6,0
2017-08,C_ID_4ea4d9ddb5,4,1,1,2.71859461,train,2017,08,69,6,7
2017-11,C_ID_cdc6535b18,1,3,0,-0.44407748,train,2017,11,72,6,10
2017-04,C_ID_60cf5965bf,2,2,1,0.15155845,train,2017,04,65,6,3
2017-09,C_ID_ad37febe59,2,1,1,0.86059694,train,2017,09,70,6,8
2017-09,C_ID_b0d0351f09,1,1,0,-0.80142289,train,2017,09,70,6,8
2017-05,C_ID_cc6bf68bd6,1,3,0,-2.61503778,train,2017,05,66,6,4
2016-06,C_ID_94dbdd8a0e,1,2,0,0.1144848,train,2016,06,55,5,5
2017-07,C_ID_568d03c096,1,2,0,1.30057304,train,2017,07,68,6,6
2017-06,C_ID_8a6ddf2443,3,2,0,-3.67914211,train,2017,06,67,6,5
2017-05,C_ID_e6590aa516,2,2,1,0.67999717,train,2017,05,66,6,4
2016-05,C_ID_e7cf944cc0,2,1,1,2.69984652,train,2016,05,54,5,4
2017-09,C_ID_ddce4462b9,2,2,1,1.40417138,train,2017,09,70,6,8
2017-08,C_ID_0510accad2,2,1,1,0.45481085,train,2017,08,69,6,7
2017-11,C_ID_bd0f6204c3,0,3,0,0.25447968,train,2017,11,72,6,10
2015-02,C_ID_f71094b54d,1,1,0,3.10696626,train,2015,02,39,4,1
2017-03,C_ID_ada2ba0f82,2,1,1,3.99977228,train,2017,03,64,6,2
2016-07,C_ID_e41d01e0f8,4,2,1,0.11713232,train,2016,07,56,5,6
2015-10,C_ID_e9120f535c,2,3,1,-33.21928095,train,2015,10,47,4,9
2017-12,C_ID_4e2e2c0822,1,2,0,-0.0453691,train,2017,12,73,6,11
2017-03,C_ID_47b67a62db,3,3,0,0.01137157,train,2017,03,64,6,2
2017-11,C_ID_951ae2900b,1,1,0,0.84546119,train,2017,11,72,6,10
2016-11,C_ID_ddc8caf01a,4,2,1,-2.00699014,train,2016,11,60,5,10
2014-06,C_ID_dd66eba051,2,3,1,-1.01112326,train,2014,06,31,3,5
2017-04,C_ID_683653ecea,1,1,0,3.17152837,train,2017,04,65,6,3
2017-09,C_ID_9eef831220,4,1,1,3.54627605,train,2017,09,70,6,8
2017-04,C_ID_28629faf1c,2,3,1,-0.17093944,train,2017,04,65,6,3
2016-11,C_ID_c0e8bf822a,1,1,0,0.91713339,train,2016,11,60,5,10
2015-11,C_ID_aa9cdb0688,1,2,0,-1.43043754,train,2015,11,48,4,10
2016-10,C_ID_1a7c066cc9,3,2,0,-0.16265575,train,2016,10,59,5,9
2017-05,C_ID_c05a675a7d,1,1,0,1.58790584,train,2017,05,66,6,4
2016-11,C_ID_ddc3f69a4e,1,2,0,-1.12807885,train,2016,11,60,5,10
2017-10,C_ID_105f511a27,3,1,0,0.85821223,train,2017,10,71,6,9
2017-11,C_ID_20d0e314f4,1,3,0,0.83562587,train,2017,11,72,6,10
2017-05,C_ID_ea712ff4f8,2,2,1,0.4131316,train,2017,05,66,6,4
2016-06,C_ID_822e5f5afb,2,2,1,-0.2641392,train,2016,06,55,5,5
2017-11,C_ID_ed671a4945,2,3,1,0.74071705,train,2017,11,72,6,10
2014-07,C_ID_9aba554d31,2,3,1,0.43506039,train,2014,07,32,3,6
2017-10,C_ID_e1d8e25e53,2,1,1,-1.07090307,train,2017,10,71,6,9
2017-07,C_ID_0b67ae3bc4,1,2,0,-0.52863374,train,2017,07,68,6,6
2014-03,C_ID_5161cba93b,2,3,1,-0.57648888,train,2014,03,28,3,2
2017-03,C_ID_027f37fa0d,4,1,1,0.30815057,train,2017,03,64,6,2
2015-08,C_ID_18411de762,4,1,1,0.18855419,train,2015,08,45,4,7
2017-06,C_ID_839c8597b8,4,1,1,-0.75284491,train,2017,06,67,6,5
2017-03,C_ID_65715cb80d,3,2,0,-33.21928095,train,2017,03,64,6,2
2016-01,C_ID_625b72b590,4,1,1,-1.32618035,train,2016,01,50,5,0
2017-11,C_ID_cf1b15e7d7,1,2,0,0.45862221,train,2017,11,72,6,10
2016-12,C_ID_93001e1fd6,4,1,1,-0.44274708,train,2016,12,61,5,11
2016-09,C_ID_ed6b23eaba,2,2,1,-2.12665943,train,2016,09,58,5,8
2017-03,C_ID_83495e5529,2,2,1,-1.04892549,train,2017,03,64,6,2
2017-08,C_ID_7c00860572,2,2,1,1.48819518,train,2017,08,69,6,7
2017-10,C_ID_5519a62808,3,3,0,-0.17160362,train,2017,10,71,6,9
2015-06,C_ID_df9f792e4c,2,1,1,0.21206412,train,2015,06,43,4,5
2016-03,C_ID_0604bba3c8,1,2,0,-1.63565649,train,2016,03,52,5,2
2016-09,C_ID_45591c7bca,2,3,1,-0.53456614,train,2016,09,58,5,8
2016-06,C_ID_d8968bcd7d,2,2,1,0.02971139,train,2016,06,55,5,5
2017-03,C_ID_ed5a08fb1e,2,2,1,-2.31398479,train,2017,03,64,6,2
2016-07,C_ID_b1ef170f73,1,2,0,0.19025786,train,2016,07,56,5,6
2017-06,C_ID_062cc54c54,3,3,0,0.917266,train,2017,06,67,6,5
2017-11,C_ID_21bfc1218d,2,3,1,-0.10794666,train,2017,11,72,6,10
2016-12,C_ID_9175843cc7,0,3,0,-0.21943656,train,2016,12,61,5,11
2017-07,C_ID_a30fef89fb,2,2,1,0.55000977,train,2017,07,68,6,6
2016-09,C_ID_b92a6c2d5d,1,2,0,2.60768258,train,2016,09,58,5,8
2016-10,C_ID_72447b5e19,4,2,1,-0.0030939,train,2016,10,59,5,9
2017-06,C_ID_97988e3247,2,2,1,0.7564107,train,2017,06,67,6,5
2016-12,C_ID_8aca1a4d7b,1,2,0,1.64446351,train,2016,12,61,5,11
2017-11,C_ID_6446a327fb,3,1,0,0.10380825,train,2017,11,72,6,10
2017-04,C_ID_020ae974ca,2,2,1,-1.25198657,train,2017,04,65,6,3
2016-04,C_ID_7decdf7eec,3,2,0,0.0,train,2016,04,53,5,3
2017-05,C_ID_87772080eb,1,1,0,0.78825075,train,2017,05,66,6,4
2016-08,C_ID_fc0920142f,1,2,0,-0.57725589,train,2016,08,57,5,7
2017-04,C_ID_306cda06b0,3,1,0,-0.12132033,train,2017,04,65,6,3
2017-11,C_ID_a7fb098de8,2,3,1,1.06188244,train,2017,11,72,6,10
2017-10,C_ID_f2d10f59ab,1,2,0,2.21688204,train,2017,10,71,6,9
2017-04,C_ID_7a2d33f66a,4,1,1,-0.10801413,train,2017,04,65,6,3
2016-05,C_ID_a34422b7b8,4,1,1,-1.17473052,train,2016,05,54,5,4
2016-12,C_ID_fbd3e3b818,2,1,1,-3.78121317,train,2016,12,61,5,11
2017-07,C_ID_e040cf57d7,2,1,1,0.5447489,train,2017,07,68,6,6
2016-06,C_ID_95ec020d6f,1,2,0,0.97961973,train,2016,06,55,5,5
2016-06,C_ID_243e678e0b,1,2,0,-1.46243139,train,2016,06,55,5,5
2017-05,C_ID_3848df3dfd,2,3,1,0.37508384,train,2017,05,66,6,4
2017-04,C_ID_8fc73d1ef2,1,2,0,5.26560835,train,2017,04,65,6,3
2016-05,C_ID_11150a0b04,2,1,1,-0.33080637,train,2016,05,54,5,4
2016-05,C_ID_65af193e8d,3,2,0,0.76724686,train,2016,05,54,5,4
2017-01,C_ID_f4bd0af9aa,3,3,0,0.03600694,train,2017,01,62,6,0
2017-03,C_ID_ce1648c459,2,2,1,0.2198677,train,2017,03,64,6,2
2016-10,C_ID_e7358ded9c,4,1,1,-0.57387086,train,2016,10,59,5,9
2017-12,C_ID_eb47fbd9a5,1,3,0,-1.4688579,train,2017,12,73,6,11
2016-09,C_ID_6806243856,4,1,1,-0.58818872,train,2016,09,58,5,8
2017-11,C_ID_94c9a017a7,2,2,1,1.42217039,train,2017,11,72,6,10
2014-05,C_ID_6a1a521600,2,3,1,-1.40498383,train,2014,05,30,3,4
2017-09,C_ID_a0a63483bc,2,2,1,-1.79479488,train,2017,09,70,6,8
2017-05,C_ID_52ade919cf,4,2,1,0.16825548,train,2017,05,66,6,4
2017-07,C_ID_a6f64ab245,2,2,1,-2.28008777,train,2017,07,68,6,6
2017-09,C_ID_fbf9b79e13,3,3,0,-0.79172012,train,2017,09,70,6,8
2017-10,C_ID_6e07f0acd9,2,2,1,-0.83975672,train,2017,10,71,6,9
2017-05,C_ID_151cf18b15,1,1,0,0.56013948,train,2017,05,66,6,4
2017-08,C_ID_028bd7dc53,3,1,0,0.20736679,train,2017,08,69,6,7
2017-09,C_ID_0a622086f6,2,1,1,-0.5693663,train,2017,09,70,6,8
2017-12,C_ID_66eedba4e6,3,2,0,-0.1785065,train,2017,12,73,6,11
2017-07,C_ID_79a6de32d2,1,1,0,0.57364289,train,2017,07,68,6,6
2017-01,C_ID_3727486ab7,2,2,1,-2.31525409,train,2017,01,62,6,0
2016-10,C_ID_242e76a513,1,2,0,3.56408875,train,2016,10,59,5,9
2017-09,C_ID_b786fdad3c,2,3,1,2.54820395,train,2017,09,70,6,8
2017-04,C_ID_d8036ab539,2,1,1,-1.78351694,train,2017,04,65,6,3
2017-06,C_ID_27800c37cc,0,1,0,-1.34789271,train,2017,06,67,6,5
2017-12,C_ID_9870167830,2,2,1,-1.01181699,train,2017,12,73,6,11
2017-10,C_ID_bf2d3ffb67,2,1,1,-1.6969112,train,2017,10,71,6,9
2016-06,C_ID_acadabf2cf,2,3,1,1.04060721,train,2016,06,55,5,5
2017-06,C_ID_126d07b476,1,2,0,0.53428429,train,2017,06,67,6,5
2017-04,C_ID_fc3aad0d44,2,3,1,4.48436952,train,2017,04,65,6,3
2017-07,C_ID_121ab1de64,2,1,1,2.14684139,train,2017,07,68,6,6
2017-03,C_ID_6e8be4bfe6,0,3,0,-0.10617092,train,2017,03,64,6,2
2016-05,C_ID_f8625969fd,3,2,0,0.25097816,train,2016,05,54,5,4
2017-05,C_ID_e9135eb292,2,2,1,-3.69599381,train,2017,05,66,6,4
2016-11,C_ID_425d2dfcbc,2,3,1,1.17860695,train,2016,11,60,5,10
2016-04,C_ID_0312a9bfd7,1,2,0,1.88730244,train,2016,04,53,5,3
2017-10,C_ID_935d23ff15,1,2,0,-0.29742178,train,2017,10,71,6,9
2017-01,C_ID_ae77d244b6,1,1,0,-33.21928095,train,2017,01,62,6,0
2017-08,C_ID_01f7ddc638,4,1,1,-3.34023362,train,2017,08,69,6,7
2017-08,C_ID_281d9623a5,1,3,0,-0.89739013,train,2017,08,69,6,7
2017-11,C_ID_323f262c07,3,1,0,0.62656195,train,2017,11,72,6,10
2017-07,C_ID_6d079f9298,2,3,1,-0.9393894,train,2017,07,68,6,6
2017-09,C_ID_7defcfa99d,2,1,1,-0.23705205,train,2017,09,70,6,8
2015-06,C_ID_5671eaade7,4,1,1,1.03035303,train,2015,06,43,4,5
2017-10,C_ID_f0975077c6,1,3,0,1.27235711,train,2017,10,71,6,9
2017-10,C_ID_2a404611e2,2,3,1,2.53564481,train,2017,10,71,6,9
2017-03,C_ID_5731d35f32,1,1,0,-0.81670194,train,2017,03,64,6,2
2017-01,C_ID_a62cc5c5aa,1,1,0,-0.04427581,train,2017,01,62,6,0
2017-09,C_ID_1c0c76a0b8,2,1,1,-0.91195164,train,2017,09,70,6,8
2015-12,C_ID_93f5541a0d,4,1,1,-0.80029377,train,2015,12,49,4,11
2016-07,C_ID_9b8687d7b4,2,3,1,-0.12988151,train,2016,07,56,5,6
2017-09,C_ID_4f968ee94a,1,1,0,0.55043272,train,2017,09,70,6,8
2017-11,C_ID_cda6f8466a,1,2,0,-0.34094727,train,2017,11,72,6,10
2017-12,C_ID_2ba410859a,1,1,0,-0.6234353,train,2017,12,73,6,11
2016-09,C_ID_4583f9b0df,0,1,0,1.55074632,train,2016,09,58,5,8
2017-09,C_ID_ee5bb1f392,1,3,0,-1.23053855,train,2017,09,70,6,8
2017-09,C_ID_ea1632455c,2,1,1,-1.30221316,train,2017,09,70,6,8
2016-10,C_ID_baefbfef08,4,1,1,2.26795369,train,2016,10,59,5,9
2016-02,C_ID_1c4046b1b0,3,2,0,-0.94924474,train,2016,02,51,5,1
2017-11,C_ID_051a718d3f,4,2,1,0.51096192,train,2017,11,72,6,10
2015-07,C_ID_c4262c902e,4,1,1,-33.21928095,train,2015,07,44,4,6
2016-07,C_ID_3cb5013dba,2,3,1,-0.96846843,train,2016,07,56,5,6
2014-05,C_ID_fad999ca8b,4,1,1,-0.98583416,train,2014,05,30,3,4
2016-08,C_ID_81c55f0160,2,3,1,-2.69277826,train,2016,08,57,5,7
2017-07,C_ID_54d51ee076,3,2,0,0.14951105,train,2017,07,68,6,6
2017-08,C_ID_af87e33129,2,2,1,0.22945154,train,2017,08,69,6,7
2017-03,C_ID_6a2c823e5f,1,1,0,-33.21928095,train,2017,03,64,6,2
2017-08,C_ID_a0818d6cdb,2,1,1,0.50571116,train,2017,08,69,6,7
2017-01,C_ID_35454c1d62,4,1,1,0.74154232,train,2017,01,62,6,0
2017-11,C_ID_bdd9a5f76d,2,1,1,-0.92962787,train,2017,11,72,6,10
2017-07,C_ID_f82ba61a01,1,2,0,0.56512575,train,2017,07,68,6,6
2015-10,C_ID_512c73fd54,1,2,0,-0.79651486,train,2015,10,47,4,9
2016-09,C_ID_ba5ee49770,2,3,1,-1.06880945,train,2016,09,58,5,8
2016-12,C_ID_353dfe5742,2,3,1,-2.83580161,train,2016,12,61,5,11
2017-01,C_ID_9e1dd8a317,1,2,0,0.16906676,train,2017,01,62,6,0
2017-12,C_ID_f4bf40bd39,2,1,1,-2.00367566,train,2017,12,73,6,11
2017-06,C_ID_ed1a2737f1,2,2,1,0.52405547,train,2017,06,67,6,5
2016-02,C_ID_3b7eee3a74,1,2,0,-0.45952192,train,2016,02,51,5,1
2017-08,C_ID_8042446a79,1,3,0,-0.09515992,train,2017,08,69,6,7
2015-03,C_ID_481fc7bb54,1,1,0,3.45247274,train,2015,03,40,4,2
2017-06,C_ID_75fdefe041,3,1,0,-0.96034453,train,2017,06,67,6,5
2016-07,C_ID_671bb26007,1,2,0,-6.60112598,train,2016,07,56,5,6
2016-09,C_ID_4891a91d8b,2,3,1,0.89759729,train,2016,09,58,5,8
2017-04,C_ID_b8615c66d6,2,1,1,2.91294327,train,2017,04,65,6,3
2017-05,C_ID_146883e18b,2,2,1,0.10323884,train,2017,05,66,6,4
2016-05,C_ID_98df3a5981,2,2,1,0.07459402,train,2016,05,54,5,4
2017-07,C_ID_9b8f015d5b,0,3,0,0.8466352,train,2017,07,68,6,6
2017-10,C_ID_2766f9cdf2,3,3,0,-2.14877317,train,2017,10,71,6,9
2017-04,C_ID_1bbb0d3511,1,1,0,0.09771014,train,2017,04,65,6,3
2017-12,C_ID_67fb3821cc,2,1,1,0.25208965,train,2017,12,73,6,11
2017-05,C_ID_7d0f5eefe2,0,3,0,-2.71058706,train,2017,05,66,6,4
2017-04,C_ID_51370da759,2,3,1,1.14260929,train,2017,04,65,6,3
2017-03,C_ID_41fa3be971,2,2,1,-2.12218542,train,2017,03,64,6,2
2017-04,C_ID_dc2da9b82e,1,1,0,1.54402222,train,2017,04,65,6,3
2015-07,C_ID_7c341c1897,4,1,1,0.66412951,train,2015,07,44,4,6
2017-11,C_ID_1b8dc6e084,1,1,0,1.87145433,train,2017,11,72,6,10
2017-03,C_ID_c90e8d4d3b,2,2,1,1.77928666,train,2017,03,64,6,2
2017-05,C_ID_4ab8d196b1,1,1,0,1.40025307,train,2017,05,66,6,4
2017-02,C_ID_263c70a16e,4,2,1,2.64648154,train,2017,02,63,6,1
2017-01,C_ID_a8396f1fb3,4,2,1,-2.41509619,train,2017,01,62,6,0
2017-04,C_ID_fd120ea087,1,2,0,4.52413208,train,2017,04,65,6,3
2017-11,C_ID_8718b55207,1,1,0,-0.52134762,train,2017,11,72,6,10
2017-11,C_ID_753b208e83,1,2,0,-1.10879992,train,2017,11,72,6,10
2016-11,C_ID_9d122c1cc9,1,1,0,1.20608227,train,2016,11,60,5,10
2015-07,C_ID_d6bf76b107,2,3,1,-0.74530663,train,2015,07,44,4,6
2016-01,C_ID_72d785659e,2,3,1,-0.07253557,train,2016,01,50,5,0
2017-10,C_ID_ad7e78be41,3,1,0,0.29110256,train,2017,10,71,6,9
2017-10,C_ID_7a1f8a2e34,2,3,1,-0.32702159,train,2017,10,71,6,9
2016-09,C_ID_29d953e448,2,2,1,-0.74749253,train,2016,09,58,5,8
2017-11,C_ID_d25746fced,1,1,0,1.0,train,2017,11,72,6,10
2017-08,C_ID_a3ab5b2aad,2,2,1,0.70438807,train,2017,08,69,6,7
2017-10,C_ID_1163d383f3,2,1,1,-1.50763607,train,2017,10,71,6,9
2014-05,C_ID_f39f414a70,2,3,1,0.77836098,train,2014,05,30,3,4
2016-08,C_ID_fcf53bdd6d,1,2,0,2.14373448,train,2016,08,57,5,7
2017-03,C_ID_e59afb1603,2,3,1,1.21205006,train,2017,03,64,6,2
2017-07,C_ID_394aca084a,2,2,1,1.23391576,train,2017,07,68,6,6
2015-09,C_ID_977d3088f2,4,1,1,-0.06573478,train,2015,09,46,4,8
2017-06,C_ID_01985962b5,0,1,0,-0.11575452,train,2017,06,67,6,5
2016-07,C_ID_42421ac52e,4,2,1,-7.43208772,train,2016,07,56,5,6
2017-11,C_ID_ad53e8cf62,2,1,1,0.6714802,train,2017,11,72,6,10
2017-08,C_ID_c35df2a139,2,1,1,0.56810763,train,2017,08,69,6,7
2017-07,C_ID_d6f2386dd7,4,2,1,1.01697632,train,2017,07,68,6,6
2017-09,C_ID_0588287dee,4,1,1,1.47133519,train,2017,09,70,6,8
2017-05,C_ID_d8b437de5d,1,1,0,-1.05647273,train,2017,05,66,6,4
2017-09,C_ID_04e6787185,1,1,0,-0.70776748,train,2017,09,70,6,8
2017-09,C_ID_27570536a2,2,1,1,-0.29952129,train,2017,09,70,6,8
2014-06,C_ID_ca7ce857d5,2,3,1,-0.16558158,train,2014,06,31,3,5
2017-08,C_ID_fdf3a87092,1,3,0,-3.15053671,train,2017,08,69,6,7
2017-01,C_ID_a97e9ddcff,1,3,0,0.07310866,train,2017,01,62,6,0
2017-05,C_ID_021e5894cc,1,1,0,0.0743806,train,2017,05,66,6,4
2016-12,C_ID_38a1fc0955,2,3,1,-0.84781083,train,2016,12,61,5,11
